stimmbezirk,adresse,stadt,waehler,stimmen,ungueltig,gueltig,spd,spd_rel,cdu,cdu_rel
1,Bundesallee 265,Wuppertal,1179,288,1,287,199,69.3,88,30.7
2,Bundesallee 265,Wuppertal,1385,252,11,241,168,69.7,73,30.3
3,Distelbeck 9,Wuppertal,1366,255,5,250,180,72,70,28
4,Distelbeck 9,Wuppertal,1184,231,2,229,148,64.6,81,35.4
5,Distelbeck 9,Wuppertal,1393,231,4,227,168,74,59,26
6,Bundesallee 30,Wuppertal,1230,195,2,193,135,70,58,30.1
7,Auer Schulstr. 20,Wuppertal,922,185,2,183,146,79.8,37,20.2
8,Hufschmiedstr. 5,Wuppertal,1516,383,11,372,312,83.9,60,16.1
9,Hombüchel 80,Wuppertal,1428,287,5,282,220,78,62,22
10,Schusterstr. 15,Wuppertal,1230,238,2,236,183,77.5,53,22.5
11,Kolpingstr. 8,Wuppertal,1565,406,6,400,291,72.8,109,27.2
12,Marienstr. 64,Wuppertal,1514,579,11,568,492,86.6,76,13.4
13,Helmholtzstr. 40,Wuppertal,1398,365,5,360,287,79.7,73,20.3
14,Schleswiger Str. 12,Wuppertal,1414,284,6,278,229,82.4,49,17.6
15,Friedrichschulstr. 15,Wuppertal,1407,227,5,222,138,62.2,84,37.8
16,Gathe 6,Wuppertal,1432,228,2,226,188,83.2,38,16.8
17,Alemannenstr. 42a,Wuppertal,1095,261,8,253,200,79,53,20.9
18,Opphofer Str. 47,Wuppertal,1428,256,10,246,173,70.3,73,29.7
19,Am Engelnberg 16,Wuppertal,1416,181,2,179,138,77.1,41,22.9
20,Am Engelnberg 16,Wuppertal,1187,248,1,247,174,70.5,73,29.6
21,Friedrich-Storck-Weg 22,Wuppertal,1168,302,4,298,206,69.1,92,30.9
22,Else-Lasker-Schüler-Str. 30,Wuppertal,1241,222,3,219,134,61.2,85,38.8
23,Else-Lasker-Schüler-Str. 30,Wuppertal,1219,204,1,203,165,81.3,38,18.7
24,Blankstr. 5,Wuppertal,1055,235,3,232,136,58.6,96,41.4
25,Gaußstr. 51,Wuppertal,1272,381,5,376,235,62.5,141,37.5
26,Rainer-Gruenter Str. 21,Wuppertal,1318,501,1,500,237,47.4,263,52.6
27,Cronenberger Str. 375,Wuppertal,1297,396,0,396,197,49.8,199,50.2
28,Im Ostersiepen 25,Wuppertal,1472,268,4,264,180,68.2,84,31.8
29,Cronenberger Str. 375,Wuppertal,1386,430,4,426,233,54.7,193,45.3
30,Augustastr. 2,Wuppertal,1168,288,3,285,177,62.1,108,37.9
31,Kölner Str. 4,Wuppertal,1161,255,2,253,181,71.5,72,28.5
32,Kölner Str. 4,Wuppertal,1286,281,7,274,173,63.1,101,36.9
33,Reichsgrafenstr. 38,Wuppertal,1530,299,3,296,196,66.2,100,33.8
34,Pfalzgrafenstr. 32,Wuppertal,1342,269,2,267,179,67,88,33
35,Jung-Stilling-Weg 45,Wuppertal,1540,464,3,461,248,53.8,213,46.2
36,Neviandtstr. 87,Wuppertal,1137,232,3,229,152,66.4,77,33.6
37,Bayreuther Str. 35,Wuppertal,1364,476,1,475,299,63,176,37
38,Bayreuther Str. 35,Wuppertal,1381,478,1,477,289,60.6,188,39.4
39,Viktoriastr. 21,Wuppertal,1210,427,3,424,273,64.4,151,35.6
40,Bundesallee 30,Wuppertal,1722,304,3,301,220,73.1,81,26.9
41,Arrenberger Str. 71,Wuppertal,1194,200,3,197,155,78.7,42,21.3
42,Kyffhäuser Str. 86,Wuppertal,1358,418,2,416,282,67.8,134,32.2
43,Stockmannsmühle 23,Wuppertal,750,243,1,242,146,60.3,96,39.7
44,Nützenberger Str. 242,Wuppertal,1760,229,2,227,161,70.9,66,29.1
45,Donarstr. 2,Wuppertal,1287,332,4,328,212,64.6,116,35.4
46,Donarstr. 2,Wuppertal,1351,431,5,426,240,56.3,186,43.7
47,Gellertweg 71,Wuppertal,1289,405,3,402,218,54.2,184,45.8
48,Krummacher Str. 25,Wuppertal,1392,415,2,413,251,60.8,162,39.2
49,Deutscher Ring 11,Wuppertal,1420,291,1,290,164,56.5,126,43.5
50,Sillerstr. 13,Wuppertal,1417,333,4,329,231,70.2,98,29.8
51,Garterlaie 29,Wuppertal,1329,297,3,294,156,53.1,138,46.9
52,Unten Vorm Steeg 1,Wuppertal,1138,386,4,382,188,49.2,194,50.8
53,Am Dönberg 46,Wuppertal,1545,630,6,624,313,50.2,311,49.8
54,Höhenstr. 25,Wuppertal,1366,524,1,523,267,51,256,49
55,Höhenstr. 56,Wuppertal,1379,513,0,513,244,47.6,269,52.4
56,Höhenstr. 56,Wuppertal,905,241,1,240,120,50,120,50
57,Höhenstr. 56,Wuppertal,973,240,3,237,133,56.1,104,43.9
58,Gustav-Heinemann-Str. 10a,Wuppertal,1080,296,3,293,172,58.7,121,41.3
59,Röttgen 110,Wuppertal,1039,260,0,260,152,58.5,108,41.5
