stimmbezirk,adresse,stadt,waehler,stimmen,ungueltig,gueltig,spd,spd_rel,cdu,cdu_rel,gruene,gruene_rel,linke,linke_rel,wfw,wfw_rel,sonstige,sonstige_rel
1,Bundesallee 265,Wuppertal,1179,339,1,338,137,40.5,90,26.6,40,11.8,44,13,7,2.1,20,5.9
2,Bundesallee 265,Wuppertal,1385,305,5,300,112,37.3,84,28,40,13.3,39,13,6,2,19,6.3
3,Distelbeck 9,Wuppertal,1366,315,4,311,130,41.8,79,25.4,43,13.8,27,8.7,9,2.9,23,7.4
4,Distelbeck 9,Wuppertal,1184,268,3,265,95,35.9,91,34.3,29,10.9,30,11.3,9,3.4,11,4.2
5,Distelbeck 9,Wuppertal,1393,275,2,273,136,49.8,62,22.7,23,8.4,27,9.9,4,1.5,21,7.7
6,Bundesallee 30,Wuppertal,1230,205,2,203,90,44.3,50,24.6,18,8.9,28,13.8,2,1,15,7.4
7,Auer Schulstr. 20,Wuppertal,922,202,0,202,72,35.6,53,26.2,30,14.8,27,13.4,4,2,16,7.9
8,Hufschmiedstr. 5,Wuppertal,1516,484,6,478,178,37.2,60,12.6,70,14.6,86,18,6,1.3,78,16.3
9,Hombüchel 80,Wuppertal,1428,325,3,322,127,39.4,64,19.9,44,13.7,41,12.7,6,1.9,40,12.4
10,Schusterstr. 15,Wuppertal,1230,278,3,275,90,32.7,60,21.8,50,18.2,48,17.4,6,2.2,21,7.6
11,Kolpingstr. 8,Wuppertal,1565,447,5,442,171,38.7,117,26.5,74,16.7,30,6.8,12,2.7,38,8.6
12,Marienstr. 64,Wuppertal,1514,653,3,650,255,39.2,78,12,126,19.4,105,16.1,8,1.2,78,12
13,Helmholtzstr. 40,Wuppertal,1398,389,2,387,151,39,68,17.6,77,19.9,63,16.3,5,1.3,23,5.9
14,Schleswiger Str. 12,Wuppertal,1414,354,1,353,138,39.1,62,17.6,58,16.4,64,18.1,3,0.8,28,7.9
15,Friedrichschulstr. 15,Wuppertal,1407,275,3,272,99,36.4,83,30.5,27,9.9,34,12.5,7,2.6,22,8.1
16,Gathe 6,Wuppertal,1432,283,7,276,110,39.9,42,15.2,40,14.5,51,18.5,8,2.9,25,9
17,Alemannenstr. 42a,Wuppertal,1095,303,9,294,106,36,51,17.4,52,17.7,47,16,5,1.7,33,11.2
18,Opphofer Str. 47,Wuppertal,1428,308,2,306,110,36,88,28.8,31,10.1,38,12.4,13,4.2,26,8.5
19,Am Engelnberg 16,Wuppertal,1415,242,1,241,100,41.5,53,22,37,15.3,33,13.7,3,1.2,15,6.2
20,Am Engelnberg 16,Wuppertal,1187,302,4,298,117,39.3,83,27.9,36,12.1,27,9.1,10,3.4,25,8.4
21,Friedrich-Storck-Weg 22,Wuppertal,1168,378,6,372,151,40.6,113,30.4,46,12.4,32,8.6,7,1.9,23,6.2
22,Else-Lasker-Schüler-Str. 30,Wuppertal,1241,249,6,243,85,35,79,32.5,31,12.8,25,10.3,8,3.3,15,6.2
23,Else-Lasker-Schüler-Str. 30,Wuppertal,1219,241,1,240,88,36.7,42,17.5,35,14.6,42,17.5,2,0.8,31,12.9
24,Blankstr. 5,Wuppertal,1054,268,6,262,86,32.8,108,41.2,35,13.4,18,6.9,4,1.5,11,4.2
25,Gaußstr. 51,Wuppertal,1272,423,1,422,157,37.2,147,34.8,60,14.2,19,4.5,22,5.2,17,4
26,Rainer-Gruenter Str. 21,Wuppertal,1318,552,2,550,162,29.4,261,47.5,71,12.9,17,3.1,16,2.9,23,4.2
27,Cronenberger Str. 375,Wuppertal,1297,426,1,425,129,30.4,206,48.5,50,11.8,15,3.5,12,2.8,13,3.1
28,Im Ostersiepen 25,Wuppertal,1473,307,5,302,94,31.1,98,32.5,40,13.2,34,11.3,19,6.3,17,5.6
29,Cronenberger Str. 375,Wuppertal,1386,470,7,463,144,31.1,187,40.4,65,14,33,7.1,8,1.7,26,5.6
30,Augustastr. 2,Wuppertal,1168,342,3,339,118,34.8,113,33.3,46,13.6,40,11.8,6,1.8,16,4.7
31,Kölner Str. 4,Wuppertal,1161,256,4,252,89,35.3,91,36.1,31,12.3,24,9.5,1,0.4,16,6.3
32,Kölner Str. 4,Wuppertal,1286,312,4,308,115,37.3,116,37.7,36,11.7,23,7.5,7,2.3,11,3.6
33,Reichsgrafenstr. 38,Wuppertal,1530,328,7,321,129,40.2,98,30.5,49,15.3,24,7.5,4,1.2,17,5.3
34,Pfalzgrafenstr. 32,Wuppertal,1342,301,2,299,108,36.1,87,29.1,42,14.1,27,9,13,4.3,22,7.4
35,Jung-Stilling-Weg 45,Wuppertal,1540,509,1,508,155,30.5,202,39.8,63,12.4,34,6.7,22,4.3,32,6.3
36,Neviandtstr. 87,Wuppertal,1137,240,8,232,84,36.2,77,33.2,30,12.9,14,6,13,5.6,14,6
37,Bayreuther Str. 35,Wuppertal,1364,525,4,521,189,36.3,182,34.9,74,14.2,38,7.3,11,2.1,27,5.2
38,Bayreuther Str. 35,Wuppertal,1381,531,3,528,190,36,188,35.6,96,18.2,29,5.5,11,2.1,14,2.7
39,Viktoriastr. 21,Wuppertal,1210,468,6,462,152,32.9,149,32.2,90,19.5,32,6.9,14,3,25,5.4
40,Bundesallee 30,Wuppertal,1722,352,6,346,129,37.3,82,23.7,58,16.8,37,10.7,14,4,26,7.5
41,Arrenberger Str. 71,Wuppertal,1194,245,4,241,94,39,51,21.2,42,17.4,32,13.3,6,2.5,16,6.6
42,Kyffhäuser Str. 86,Wuppertal,1358,479,2,477,202,42.4,153,32.1,51,10.7,37,7.8,15,3.1,19,4
43,Stockmannsmühle 23,Wuppertal,750,265,0,265,98,37,100,37.7,38,14.3,9,3.4,2,0.8,18,6.8
44,Nützenberger Str. 242,Wuppertal,1759,281,1,280,98,35,77,27.5,49,17.5,28,10,8,2.9,20,7.1
45,Donarstr. 2,Wuppertal,1287,395,5,390,143,36.7,115,29.5,55,14.1,21,5.4,31,8,25,6.4
46,Donarstr. 2,Wuppertal,1351,481,4,477,167,35,189,39.6,79,16.6,19,4,6,1.3,17,3.6
47,Gellertweg 71,Wuppertal,1289,407,6,401,140,34.9,169,42.1,58,14.5,16,4,9,2.2,9,2.3
48,Krummacher Str. 25,Wuppertal,1392,460,6,454,161,35.5,152,33.5,73,16.1,30,6.6,7,1.5,31,6.8
49,Deutscher Ring 11,Wuppertal,1420,335,4,331,103,31.1,124,37.5,49,14.8,17,5.1,11,3.3,27,8.2
50,Sillerstr. 13,Wuppertal,1417,378,4,374,160,42.8,92,24.6,44,11.8,31,8.3,25,6.7,22,5.9
51,Garterlaie 29,Wuppertal,1329,342,3,339,117,34.5,128,37.8,37,10.9,16,4.7,13,3.8,28,8.3
52,Unten Vorm Steeg 1,Wuppertal,1138,418,5,413,104,25.2,192,46.5,66,16,19,4.6,11,2.7,21,5.1
53,Am Dönberg 46,Wuppertal,1545,673,6,667,217,32.5,318,47.7,78,11.7,21,3.1,10,1.5,23,3.4
54,Höhenstr. 25,Wuppertal,1366,539,0,539,155,28.8,258,47.9,58,10.8,30,5.6,13,2.4,25,4.6
55,Höhenstr. 56,Wuppertal,1379,566,7,559,158,28.3,292,52.2,66,11.8,22,3.9,10,1.8,11,2
56,Höhenstr. 56,Wuppertal,905,253,1,252,74,29.4,110,43.6,45,17.9,5,2,5,2,13,5.2
57,Höhenstr. 56,Wuppertal,973,275,4,271,89,32.8,111,41,34,12.6,19,7,4,1.5,14,5.2
58,Gustav-Heinemann-Str. 10a,Wuppertal,1080,324,4,320,116,36.2,120,37.5,44,13.8,22,6.9,6,1.9,12,3.7
59,Röttgen 110,Wuppertal,1039,289,1,288,114,39.6,107,37.1,20,6.9,21,7.3,7,2.4,19,6.6
